act,prompt
Trip Planner,Plan 3 things for a 1 day trip with kids to visit San Francisco
San Francisco Things to Do,What is something fun for kids to do in San Francisco?
Book Summary,"Summarize the book, 'Don't Let the Pigeon Drive the Bus' by Mo Willems"
How To,How can I learn to write a comic book?
Translate,How do I write Good Morning in Japanese?
Tell GPT a Joke,"Knock, Knock"
Joke,Tell me a joke
Giraffe Joke,Tell me a joke about giraffes
Poop Joke,Tell me a joke about poop
Storyteller,Tell me a 300 word story
Poem,Write me a poem about sloths
Storyteller - Creeper,You are a creeper from minecraft. Tell me a story in your language.
Storyteller - Pirate,Write a 300 word story about crocodiles in the voice of a pirate
Storyteller - Alien,You are an alien from a made up planet with a made up language. Tell me a 300 word story about your planet in your language.
Birthday Party Invite,Write me a message for a birthday party invite
How does it work?,How does GPT work?
Games - Hangman,Play hangman with me
Games - TicTacToe,Play TicTacToe with me
Games - Read My Mind,I want to play a game in which you have to guess what I am thinking. You can ask me 20 questions at most. I can only answer in yes or no.
