act,prompt
Trip Planner,Plan a 3 day trip for kids to visit San Francisco
San Francisco Things to Do,What is something fun for kids to do in San Francisco?
Book Summary,"Summarize the book, 'Don't Let the Pigeon Drive the Bus' by Mo Willems"
How To,How can I learn to write a comic book?
Tell GPT a Joke,"Knock, Knock"
Joke,Tell me a joke
Giraffe Joke,Tell me a joke about giraffes
Poop Joke,Tell me a joke about poop
Storyteller,Tell me a story
Poem,Write me a poem about poop
Storyteller - Creeper,You are a creeper from minecraft. Tell me a story in your language.
Storyteller - Pirate,Write a story about crocodiles in the voice of a pirate
Storyteller - Alien,You are an alien from a made up planet with a made up language. Tell me a story about your planet in your language.
Birthday Party Invite,Write me a message for a birthday party invite
